#hg19.knownGene.name	hg19.knownGene.proteinID	hg19.kgXref.kgID	hg19.kgXref.mRNA
uc010mfn.1	E9PPE7	uc010mfn.1	AK309251
uc010mfo.2		uc010mfo.2	AK308657
uc011lku.2	E9PNI7	uc011lku.2	AK303317
uc011lkv.2		uc011lkv.2	BC144235
uc003zge.4	Q5T8R8	uc003zge.4	NM_152569
uc003zje.3	Q9NZQ7	uc003zje.3	NM_014143
uc003zjf.4	Q2V8D5	uc003zjf.4	NM_001267706
uc003zjg.4	Q9BQ51	uc003zjg.4	NM_025239
uc003zok.3	P01574	uc003zok.3	NM_002176
uc003zra.3	O95786	uc003zra.3	NM_014314
uc010mhn.4		uc010mhn.4	NR_052005
uc010mho.1	Q9BQ51-2	uc010mho.1	AY271901
uc010mhp.1	Q9BQ51-3	uc010mhp.1	AY271902
uc010mji.3	B3KWW1	uc010mji.3	AK125989
uc010nba.1	A6XNE0	uc010nba.1	DQ884407
uc010mjj.3		uc010mjj.3	BC070029
uc010mjk.1	O95786-2	uc010mjk.1	BX647917
uc010mkf.3		uc010mkf.3	AX772806
uc003zst.3	O14520	uc003zst.3	NM_001170
uc010naw.1	B4E3C0	uc010naw.1	AK309965
uc010nay.3	P09466	uc010nay.3	AK309983
uc010naz.3		uc010naz.3	AK311730
uc010mkr.3	A8MTA8	uc010mkr.3	NM_001164310
uc003zvn.3	Q99731	uc003zvn.3	NM_006274
uc003zwy.3	A8MTA8-2	uc003zwy.3	NM_001099951
uc011lmb.2	Q9NZQ7-3	uc011lmb.2	AK300470
uc011lmc.2	Q9BQ51	uc011lmc.2	BC143920
uc011lmd.2	Q9BQ51	uc011lmd.2	BC143921
uc011mdp.1	P09466-2	uc011mdp.1	AK304657
uc022bnh.1	F1DAM0	uc022bnh.1	HQ709184
uc011lnr.1	F5H5W6	uc011lnr.1	AK301678
uc011lov.2	B7ZW26	uc011lov.2	BC171840
uc011low.2	B7ZW33	uc011low.2	BC171851
uc011lva.1	B7ZAZ9	uc011lva.1	AK316464
uc011luz.1	B4E0G2	uc011luz.1	AK303366
uc031tfb.1	Q5T6F7	uc031tfb.1	AX746651
uc004ahm.2	Q7Z304	uc004ahm.2	NM_153267
uc004ahn.2		uc004ahn.2	BC045569
uc004cgd.1	P09466	uc004cgd.1	NM_002571
uc004ayd.2	Q14142	uc004ayd.2	NM_033220
uc004cge.1	P09466	uc004cge.1	NM_001018049
uc004cgf.1	P09466	uc004cgf.1	BC112304
uc004boo.1	Q13285	uc004boo.1	NM_004959
uc004cgg.1	P09466	uc004cgg.1	M61886
uc004ayg.1	Q14142	uc004ayg.1	NM_033219
uc004ayh.1	Q14142	uc004ayh.1	NM_014788
uc004ays.3	O75899	uc004ays.3	NM_005458
uc010nng.3	Q5H913-2	uc010nng.3	NM_001162491
uc010nql.3	A6NJG2	uc010nql.3	NM_001105576
uc022cde.1	Q9P2N7-3	uc022cde.1	NM_001168301
uc011mke.1		uc011mke.1	AK304033
uc011mkf.1	F5GWD2	uc011mkf.1	AK301491
uc011mkg.1	P04839	uc011mkg.1	AK301476
uc022brs.1	Q9HC73	uc022brs.1	AK223303
uc022brt.1	Q9HC73	uc022brt.1	GQ280263
uc022bvg.1		uc022bvg.1	CR749363
uc011mrf.2	Q5H913	uc011mrf.2	NM_001162490
uc011mtn.2	Q9P2N7	uc011mtn.2	AK297523
uc011mto.2	Q9P2N7-4	uc011mto.2	NM_001168300
uc011mtp.2	Q9P2N7-5	uc011mtp.2	NM_001168299
uc011mtq.2	Q9P2N7-3	uc011mtq.2	NM_001168302
uc004ddr.2	P04839	uc004ddr.2	NM_000397
uc004dgb.4	Q5JST6	uc004dgb.4	NM_025184
uc004cpk.2	Q9HC73	uc004cpk.2	NM_022148
uc004cpl.2	Q5G7M1	uc004cpl.2	NM_001012288
uc004ecy.1	Q8N0Y7	uc004ecy.1	NM_001029891
uc004ego.3	Q5H913	uc004ego.3	NM_001012990
uc004eqk.3	Q9P2N7	uc004eqk.3	AB037730
uc004eql.3	Q9P2N7	uc004eql.3	NM_033495
uc004eqm.3	NP_001161775	uc004eqm.3	NM_001168303
uc004euk.2	Q5VW00	uc004euk.2	NM_001013628
uc022ciq.1	Q9HC73	uc022ciq.1	AK223303
uc022cir.1	Q9HC73	uc022cir.1	GQ280263
uc004fox.2	Q9HC73	uc004fox.2	NM_022148
uc004foy.2	Q5G7M1	uc004foy.2	NM_001012288
uc010qau.2	Q13261-3	uc010qau.2	NM_172200
uc010qez.1	B4DGX8	uc010qez.1	AK294827
uc001ija.1	O15163	uc001ija.1	AF008556
uc001jak.1	P07949-2	uc001jak.1	NM_020630
uc001jal.3	P07949	uc001jal.3	NM_020975
uc001iiv.3	Q13261	uc001iiv.3	NM_002189
uc001iiw.3	NP_001230468	uc001iiw.3	NM_001243539
uc001jao.1	Q8N9B8-2	uc001jao.1	AK095136
uc001jap.1	Q8N9B8	uc001jap.1	NM_145313
uc001iiy.3	Q5JVA8	uc001iiy.3	NR_046362
uc001iiz.2	P01589	uc001iiz.2	NM_000417
uc010qml.1	O75112	uc010qml.1	AK294696
uc010qmm.2	O75112-7	uc010qmm.2	NM_001171610
uc001ioj.1	Q5VWW1	uc001ioj.1	NM_001010908
uc010qps.2	G3V5U4	uc010qps.2	AB463994
uc001kbh.3	P35247	uc001kbh.3	NM_003019
uc001kcv.3	Q96JP9	uc001kcv.3	NM_033100
uc001kcw.3	NP_001165442	uc001kcw.3	NM_001171971
uc001kcx.3	NP_149091	uc001kcx.3	AL080188
uc001kdr.3	O75112-6	uc001kdr.3	NM_001080116
uc001kds.3	O75112-5	uc001kds.3	NM_001080115
uc001kdt.3		uc001kdt.3	AF276808
uc001kdu.3	O75112-2	uc001kdu.3	NM_001080114
uc001kdv.3	O75112	uc001kdv.3	NM_007078
uc001kgf.3	O14879	uc001kgf.3	NM_001549
uc001kgg.3	O14879	uc001kgg.3	NM_001031683
uc001kgi.4	P09914	uc001kgi.4	NM_001548
uc001jwr.3	Q9UII6	uc001jwr.3	NM_016364
uc001jws.3	Q6B8I1	uc001jws.3	NM_001007271
uc001jwt.3	Q9UII6-2	uc001jwt.3	AK127886
uc001jwu.3	Q9UII6-2	uc001jwu.3	NM_001007273
uc001jwv.3	Q9UII6	uc001jwv.3	BC009778
uc001jww.3	Q9UII6-4	uc001jww.3	NM_001007272
uc001kpx.2	Q96A46	uc001kpx.2	NM_031212
uc001kpy.2	Q96A46-2	uc001kpy.2	BC064541
uc001krk.4	NP_003981	uc001krk.4	NM_003990
uc001krl.4	Q02962-4	uc001krl.4	NM_003988
uc001krm.4	NP_003978	uc001krm.4	NM_003987
uc001krn.4	NP_003980	uc001krn.4	NM_003989
uc001kro.4	NP_000269	uc001kro.4	NM_000278
uc001krp.1	Q6YFJ8	uc001krp.1	AY153483
uc001kut.3	Q9HB03	uc001kut.3	NM_152310
uc009xih.2	Q5W005	uc009xih.2	K03122
uc009xta.2		uc009xta.2	AF086263
uc009xrs.3	Q9UII6-2	uc009xrs.3	AK291891
uc009xst.3	E7EN47	uc009xst.3	AK124752
uc009xsy.3	O75112-4	uc009xsy.3	NM_001171611
uc009xsz.3	O75112-3	uc009xsz.3	AJ133768
uc009xts.3	P09913	uc009xts.3	NM_001547
uc009xtt.4	NP_001257856	uc009xtt.4	NM_001270927
uc009xwk.1	NP_112489	uc009xwk.1	AJ303078
uc021pmo.1	NP_001243694	uc021pmo.1	NM_001256765
uc021pmp.1	Q13261-8	uc021pmp.1	AB590464
uc021pwy.1	Q96A46-3	uc021pwy.1	AK056782
uc021pwz.1	Q96A46	uc021pwz.1	AJ303078
uc031pwo.1	NP_001257859	uc031pwo.1	NM_001270929
uc031pwp.1	NP_001257859	uc031pwp.1	NM_001270928
uc031pwq.1	NP_001257859	uc031pwq.1	NM_001270930
uc031pwr.1	NP_001257859	uc031pwr.1	CCDS59220
uc010rel.2	P25791	uc010rel.2	NM_001142315
uc010rem.2	P25791-3	uc010rem.2	NM_005574
uc010sae.2	B4DHS6	uc010sae.2	AK295247
uc010sca.1	B4DYI7	uc010sca.1	AK302454
uc010rju.1	P05155	uc010rju.1	AK303840
uc010rjv.1	B4E1F0	uc010rjv.1	AK303809
uc010qwf.2	Q92985	uc010qwf.2	AB463790
uc010qwg.2	B4E1B1	uc010qwg.2	BC144242
uc010qwh.2	B4E1B1	uc010qwh.2	AK303752
uc010qzm.2	Q8IYM9	uc010qzm.2	AK301192
uc010rvk.3	B4DVD8	uc010rvk.3	AK301037
uc010rvl.3	B4DKN4	uc010rvl.3	AK296646
uc001mbr.3	Q8IYM9	uc001mbr.3	NM_006074
uc001mbs.1	Q8NGI3	uc001mbs.1	DQ656033
uc001lpa.2	Q01628	uc001lpa.2	NM_021034
uc001lqf.3	B4E1B1	uc001lqf.3	U53832
uc001lox.4	Q01629	uc001lox.4	NM_006435
uc001lqg.3	Q92985-4	uc001lqg.3	NM_004031
uc001loy.4	NP_003632	uc001loy.4	NM_003641
uc001lqh.3	Q92985	uc001lqh.3	NM_001572
uc001lqi.3	Q92985-2	uc001lqi.3	NM_004029
uc001mlx.1	P10092	uc001mlx.1	NM_000728
uc001mni.3	P15172	uc001mni.3	NM_002478
uc001lwn.3	P51787	uc001lwn.3	NM_000218
uc001lwo.4	Q14D14	uc001lwo.4	NR_040711
uc001lyb.1	Q96L15	uc001lyb.1	NM_053017
uc001lyc.1	Q96L15	uc001lyc.1	NM_001079536
uc001mnu.3	Q96LB0	uc001mnu.3	NM_054031
uc001lyd.3	Q96L15-2	uc001lyd.3	AY358466
uc001lyy.1	P19474	uc001lyy.1	NM_003141
uc001oce.1	Q8N1L9	uc001oce.1	AX747553
uc001nkn.2	O14933	uc001nkn.2	NM_004223
uc001ocf.1	Q8N1L9	uc001ocf.1	NM_138456
uc001nko.2	NP_937826	uc001nko.2	NM_198183
uc001nkp.1	P05155	uc001nkp.1	NM_000062
uc001nkr.1	P05155	uc001nkr.1	NM_001032295
uc001nks.1	Q5UGI6	uc001nks.1	AY732485
uc001mvc.3	P25791	uc001mvc.3	AF257211
uc001mvd.3	P25791	uc001mvd.3	BC073973
uc001mve.3	P25791	uc001mve.3	NM_001142316
uc001oeq.3	Q9Y2U2-2	uc001oeq.3	NM_033348
uc001oer.3	Q9Y2U2-2	uc001oer.3	NM_033455
uc001oes.3	Q9Y2U2	uc001oes.3	NM_033347
uc001oeu.3	Q9Y2U2-3	uc001oeu.3	NM_005714
uc001nun.3	Q8ND94	uc001nun.3	NM_203422
uc001nxg.1	Q9NWW9	uc001nxg.1	NM_017878
uc001phl.3	P45452	uc001phl.3	NM_002427
uc001pig.4	P29466-3	uc001pig.4	NM_033293
uc001pim.5	P29466	uc001pim.5	NM_001257118
uc001qaq.2	Q92686	uc001qaq.2	NM_006176
uc001qar.2	Q92686	uc001qar.2	NM_001126181
uc001pla.2	Q9P2F6-2	uc001pla.2	NM_001258416
uc001plb.2	Q9P2F6	uc001plb.2	AK292290
uc009ycb.3	Q92985	uc009ycb.3	BC021078
uc001plj.3	Q9NY30	uc001plj.3	NM_017589
uc001plk.3	Q8NEH7	uc001plk.3	BC031045
uc001pky.2	Q9P2F6-3	uc001pky.2	NM_001258415
uc001pkz.2	Q9P2F6	uc001pkz.2	NM_020809
uc009yea.3	Q96L15-2	uc009yea.3	AK313531
uc009ydo.1	A0FIK7	uc009ydo.1	AF003743
uc009ydp.2	P51787	uc009ydp.2	AK129678
uc009yes.3	Q8IYM9-2	uc009yes.3	NM_001199573
uc009yet.2	C9JWC5	uc009yet.2	AK308796
uc009yev.1	Q8NGI3	uc009yev.1	DQ656032
uc001qfw.3	Q9Y5Y6	uc001qfw.3	NM_021978
uc001ozk.4	H0YCJ4	uc001ozk.4	AK127101
uc001ozl.4	Q6N022	uc001ozl.4	NM_001098816
uc009ygr.1	P10092	uc009ygr.1	AK291188
uc001pzr.3	NP_938057	uc001pzr.3	NM_198315
uc001pzs.3	NP_938057	uc001pzs.3	AY366506
uc001pzt.3	O00534	uc001pzt.3	NM_014622
uc001pzu.3	O00534	uc001pzu.3	NM_001130142
uc009yvc.3	G3CAT2	uc009yvc.3	AK309124
uc009yxi.4	P29466-2	uc009yxi.4	NM_001257119
uc021qek.1	Q96LB0	uc021qek.1	CCDS7830
uc009yxj.4	P29466	uc009yxj.4	AK310059
uc009yyb.2	NP_001245347	uc009yyb.2	NM_001258417
uc021qem.1	NP_954630	uc021qem.1	NM_001178006
uc021qen.1	NP_954630	uc021qen.1	NM_000331
uc021qeo.1	NP_954630	uc021qeo.1	NM_199161
uc021qjh.1	E9PPJ3	uc021qjh.1	NM_001105565
uc021qlb.1	NP_612465	uc021qlb.1	AX747712
uc021qkm.1	Q8ND94	uc021qkm.1	CCDS8030
uc031qdz.1	NP_001245347	uc031qdz.1	NM_001258418
uc021qnz.1	G3CAT2	uc021qnz.1	HE578287
uc021qpp.2	P29466	uc021qpp.2	NM_033292
uc021qpq.2	P29466-2	uc021qpq.2	NM_001223
uc021qpr.2	P29466-4	uc021qpr.2	NM_033294
uc021qps.2	P29466-5	uc021qps.2	NM_033295
uc021qpt.1	P29466-3	uc021qpt.1	BC062327
uc031pxy.1		uc031pxy.1	NR_049759
uc031pxz.1	Q92985-2	uc031pxz.1	KC477210
uc010sga.1	F5H2D0	uc010sga.1	AK303750
uc010sfy.2	NP_001724	uc010sfy.2	NM_001733
uc010sfz.1	F5GZR1	uc010sfz.1	AK298445
uc010slu.2	Q8NH09	uc010slu.2	NM_001005203
uc010snm.2	E7EN07	uc010snm.2	AK303331
uc010sqn.2	B4DLC8	uc010sqn.2	AK296940
uc010srk.3		uc010srk.3	AK129629
uc010syn.2	H0YI20	uc010syn.2	AK300346
uc010syo.2	B4DWE7	uc010syo.2	AK301498
uc001qng.3	P17658	uc001qng.3	NM_002235
uc009zdr.2		uc009zdr.2	AL137658
uc009zds.2		uc009zds.2	BC150186
uc009zdt.1	Q7Z3S7	uc009zdt.1	BC075848
uc009zgk.1	P01023	uc009zgk.1	AK307832
uc001saf.2	P78385	uc001saf.2	NM_002282
uc001qtv.1	Q16581	uc001qtv.1	NM_004054
uc001qvk.1	NP_000005	uc001qvk.1	NM_000014
uc009znk.4	Q16621	uc009znk.4	AK290564
uc009znl.4	Q16621	uc009znl.4	NM_001261461
uc001sfq.4	Q16621	uc001sfq.4	NM_006163
uc001sfr.5	Q16621	uc001sfr.5	NM_001136023
uc001slb.3	Q6N0A7	uc001slb.3	BX640607
uc001slc.3	P52630	uc001slc.3	NM_005419
uc001sld.3	G3V2M6	uc001sld.3	NM_198332
uc009zwf.3	F8VXY3	uc009zwf.3	AJ629455
uc001sno.3	Q9NRX3	uc001sno.3	NM_020142
uc021rdl.1	Q4V9L6	uc021rdl.1	CCDS9119
uc001rzj.3	P37023	uc001rzj.3	NM_000020
uc001rzk.3	P37023	uc001rzk.3	NM_001077401
uc001sqv.3		uc001sqv.3	BC040286
uc001sqw.3	Q8N3H0	uc001sqw.3	NM_178539
uc001sqx.3	Q8N3H0	uc001sqx.3	AK123580
uc001sqy.3		uc001sqy.3	CR749367
uc021qsx.1	Q7Z3S7	uc021qsx.1	NM_172364
uc021qsy.1	B4DVU4	uc021qsy.1	BC048288
uc021quh.1	F5H2D0	uc021quh.1	JF432122
uc021qsz.1	B4DVU4	uc021qsz.1	AK301234
uc031qjs.1	I1YDD2	uc031qjs.1	NM_001261825
uc001suw.2	P61626	uc001suw.2	NM_000239
uc021qtr.1	P17658	uc021qtr.1	CCDS8534
uc001ucx.1	Q8TDS4	uc001ucx.1	NM_177551
uc021quj.1	Q16581	uc021quj.1	CCDS8588
uc001tng.3	Q4V9L6	uc001tng.3	NM_181724
uc001ucy.4	E9PI97	uc001ucy.4	NM_006018
uc001sxp.2	Q4G1C9-2	uc001sxp.2	NM_152436
uc001sxq.2	Q4G1C9	uc001sxq.2	NR_072995
uc001sxr.2	Q4G1C9	uc001sxr.2	NM_001270396
uc021qxz.1	F8W0N2	uc021qxz.1	HM161906
uc001tub.3	P00973-2	uc001tub.3	NM_002534
uc001tuc.3	P00973-3	uc001tuc.3	NM_001032409
uc001tud.3	P00973	uc001tud.3	NM_016816
uc001tue.3	F8VWK9	uc001tue.3	AK000608
uc001tuf.3	F8VS35	uc001tuf.3	BC012015
uc001tug.3	Q9Y6K5	uc001tug.3	NM_006187
uc001tuh.3	P29728-3	uc001tuh.3	NM_001032731
uc001tui.1	P29728-2	uc001tui.1	NM_002535
uc001tuj.3	P29728	uc001tuj.3	NM_016817
uc001tzj.2	Q15646	uc001tzj.2	NM_003733
uc001tzk.2	Q15646-2	uc001tzk.2	NM_198213
uc001umx.1	Q9Y6H8	uc001umx.1	NM_021954
uc021rgz.1	Q9Y6H8	uc021rgz.1	CCDS9289
uc001urv.4	NP_001256	uc001urv.4	NM_001265
uc010tem.2	A6NNP5-4	uc010tem.2	NM_001198908
uc010tek.2	A6NNP5-3	uc010tek.2	NM_001144982
uc010tej.2	A6NNP5-3	uc010tej.2	NM_001144983
uc010tel.2	A6NNP5-6	uc010tel.2	NM_001144984
uc010abm.3	A6NNP5	uc010abm.3	NM_001144981
uc010abo.3	NP_001138458	uc010abo.3	NM_001144985
uc010abn.3	NP_001138458	uc010abn.3	NM_001144986
uc001uvl.4	A6NNP5-2	uc001uvl.4	AK131058
uc001uyi.2	Q9H4X1	uc001uyi.2	NM_014059
uc001uyw.2	Q96J88-3	uc001uyw.2	NM_001002264
uc001uyx.2	Q96J88-2	uc001uyx.2	NM_033255
uc001uyy.3	Q9Y5T4	uc001uyy.3	NM_013238
uc010tgl.2	B4DTX8	uc010tgl.2	AK300410
uc031qlo.1	B4DDL5	uc031qlo.1	AK293242
uc001vdb.3	Q9UIL8	uc001vdb.3	NM_001040443
uc001vdc.3	NP_001035534	uc001vdc.3	NM_001040444
uc001vdd.3		uc001vdd.3	AK225986
uc031qnk.1	O15068-2	uc031qnk.1	AB002360
uc010tjr.2	O15068-9	uc010tjr.2	NM_001112732
uc031qnl.1	O15068-3	uc031qnl.1	AB116074
uc001vss.4	O15068-4	uc001vss.4	DQ892041
uc010tjs.2	E9PDN8	uc010tjs.2	NM_024979
uc001vst.1	O15068	uc001vst.1	AK094768
uc021sba.1	A8K0H0	uc021sba.1	NM_001130080
uc021rsw.1	Q8WXF7	uc021rsw.1	AK223436
uc021rsx.1	Q8WXF7	uc021rsx.1	CCDS9700
uc001ycm.1		uc001ycm.1	AJ294851
uc001ycn.1		uc001ycn.1	AY126458
uc001ybw.1	Q86XR5	uc001ybw.1	NM_178013
uc001ybx.1		uc001ybx.1	AY225517
uc001wyf.4	Q8WXF7	uc001wyf.4	NM_015915
uc001xtf.2	Q9P1W3	uc001xtf.2	NM_020431
uc010asq.1	Q9P1W3	uc010asq.1	BC136614
uc002abq.3	NP_065129	uc002abq.3	NM_020396
uc002aez.2	O43315	uc002aez.2	NM_020980
uc002anr.2	Q9Y645	uc002anr.2	BC033254
uc002ans.2	Q9H611	uc002ans.2	AF108138
uc002ant.2	Q9H611	uc002ant.2	NM_025049
uc002anu.3	Q9H611-2	uc002anu.3	AK026345
uc002aqc.3	Q6UWM7	uc002aqc.3	NM_207338
uc002aqd.4	Q6UWM7	uc002aqd.4	AX746525
uc002bjy.1		uc002bjy.1	AX747482
uc002bjz.4	P82987	uc002bjz.4	NM_207517
uc002ayr.1	P05177-2	uc002ayr.1	NM_000761
uc002bvv.1	Q8TE56	uc002bvv.1	NM_139057
uc002bvw.1		uc002bvw.1	AK057331
uc002bvx.1	Q8TE56-2	uc002bvx.1	AK131344
uc010uej.2	C9JE40	uc010uej.2	NM_001145112
uc010ugx.1	O43315	uc010ugx.1	AK300055
uc010uiq.1	Q9H611	uc010uiq.1	EU084033
uc031qrq.1		uc031qrq.1	AK130783
uc021skx.1	Q70EL3	uc021skx.1	AB464334
uc021sky.1	E9PP86	uc021sky.1	NM_203494
uc021sta.1		uc021sta.1	BC131532
uc021ssn.1	A6NI86	uc021ssn.1	NM_001164465
uc021ssz.1	A6NI86	uc021ssz.1	NM_001164465
uc001zmy.3	Q9NXH3	uc001zmy.3	NM_017726
uc001zmz.3	E9PAT1	uc001zmz.3	NM_001130143
uc001zub.4	C9JE40	uc001zub.4	BC036924
uc001zun.3	Q9NRD8	uc001zun.3	AF267981
uc010bea.3	Q9NRD8	uc010bea.3	NM_014080
uc010bhw.3		uc010bhw.3	AK311441
uc010bmt.1	P82987	uc010bmt.1	AK308845
uc002dar.1	O15524	uc002dar.1	NM_003745
uc002ckn.3	P57073	uc002ckn.3	NM_014587
uc002dka.2	Q8IXQ8-2	uc002dka.2	NR_033694
uc002dqb.2	H3BU97	uc002dqb.2	NM_018690
uc002eki.2	P11597	uc002eki.2	NM_000078
uc002ekj.2	P11597-2	uc002ekj.2	M83573
uc002eko.1		uc002eko.1	BC050527
uc002ekq.1	NP_115582	uc002ekq.1	BC040278
uc002elh.3	O00626	uc002elh.3	NM_002990
uc002ekr.1	H0YGT6	uc002ekr.1	AK027416
uc010vli.1	P22223	uc010vli.1	AK296968
uc002eog.2	P55286	uc002eog.2	NM_001796
uc002eoh.3	Q3LID3	uc002eoh.3	AB074170
uc002ewf.2	P22223	uc002ewf.2	NM_001793
uc002fmt.3	P55291	uc002fmt.3	NM_004933
uc021tcz.1	O15524	uc021tcz.1	CCDS10546
uc021ter.1	F5GWW8	uc021ter.1	NM_173806
uc021tit.1	Q86WI3-2	uc021tit.1	AK097030
uc021tiu.1	Q86WI3	uc021tiu.1	NM_032206
uc021tiv.1	H0YGE2	uc021tiv.1	AK025362
uc021tiw.1	H0YGE2	uc021tiw.1	BX640842
uc010ccq.1		uc010ccq.1	AK074182
uc010ccr.1		uc010ccr.1	AK090439
uc010ccs.1		uc010ccs.1	AK074133
uc010byg.2	H3BU97	uc010byg.2	BC119788
uc010wgf.1	B7Z455	uc010wgf.1	AK296840
uc010wkr.1		uc010wkr.1	AK300424
uc002gdm.1	Q6GPH4	uc002gdm.1	AK056908
uc002gdn.3	Q6GPH4	uc002gdn.3	NM_017523
uc002gdo.3	Q6GPH4-2	uc002gdo.3	NM_199139
uc002gdp.4	Q6GPH4-6	uc002gdp.4	NR_046396
uc002gdq.4	Q6GPH4-6	uc002gdq.4	NR_046398
uc002gdr.4	Q6GPH4-6	uc002gdr.4	NR_046397
uc002fta.2		uc002fta.2	NR_028075
uc002fsy.2	Q14162-3	uc002fsy.2	NM_145350
uc002fsz.2	Q14162	uc002fsz.2	NM_003693
uc002fye.2	NP_940903	uc002fye.2	NM_198501
uc002fyf.1	Q2TAL5	uc002fyf.1	NM_001114974
uc002fyw.1	O14894	uc002fyw.1	NM_003963
uc002hht.3	E9PBX2	uc002hht.3	NM_183377
uc002hhu.3	Q16515	uc002hhu.3	NM_001094
uc002iec.1	Q9BQB4	uc002iec.1	NM_025237
uc002gyv.1	Q14500	uc002gyv.1	NM_021012
uc002ili.1	I3L4X8	uc002ili.1	AY826979
uc002ilj.3	P05106	uc002ilj.3	NM_000212
uc002hvt.1	Q9BYR8	uc002hvt.1	NM_031958
uc002hwm.3	O76011	uc002hwm.3	NM_021013
uc002hxg.4	P08779	uc002hxg.4	NM_005557
uc002iom.3	Q9NZI8	uc002iom.3	NM_006546
uc002hyv.3		uc002hyv.3	AK097669
uc002hyw.3	Q96C10	uc002hyw.3	NM_024119
uc002keo.3	Q8WVN6	uc002keo.3	NM_003004
uc002jyf.4	Q63HN8-5	uc002jyf.4	NM_020954
uc002jyg.1	J3QTP8	uc002jyg.1	AB046838
uc031ret.1		uc031ret.1	AF397205
uc031qxu.1	Q14162	uc031qxu.1	NR_102409
uc021uen.2	Q63HN8	uc021uen.2	NM_001256071
uc021tss.1	NP_001181887	uc021tss.1	NM_001194958
uc021tst.1	Q14500	uc021tst.1	CCDS11219
uc021txm.1	NP_005548	uc021txm.1	AK309278
uc021txx.1	P80217-2	uc021txx.1	NM_005533
uc010clr.1	C9J7Z8	uc010clr.1	AK290276
uc010dhx.3		uc010dhx.3	AL161961
uc002kxa.3	I3L0B8	uc002kxa.3	NM_001034172
uc002kxj.4	Q16820	uc002kxj.4	NM_005925
uc002liy.2	P36952-2	uc002liy.2	BC020713
uc002liz.4	P36952	uc002liz.4	NM_002639
uc010xeu.2	P05120	uc010xeu.2	NM_001143818
uc002ljo.3	P05120	uc002ljo.3	NM_002575
uc002ljp.1	H7BYS2	uc002ljp.1	DQ655996
uc002ljq.1	H7C004	uc002ljq.1	DQ655997
uc010yau.2	P49771	uc010yau.2	NM_001204502
uc010yav.2	P49771	uc010yav.2	AK301136
uc010ycd.2	Q9BQG1	uc010ycd.2	NM_001160328
uc010xsy.2		uc010xsy.2	BC144205
uc002mau.3	P02750	uc002mau.3	NM_052972
uc002loo.3	Q8TF44	uc002loo.3	NM_001136263
uc002ndp.4	Q96JZ2	uc002ndp.4	NM_032855
uc002ndr.3	Q96JZ2-2	uc002ndr.3	AK131222
uc002mmt.2		uc002mmt.2	AK001098
uc002mmu.4	Q9NUL5	uc002mmu.4	NM_018381
uc002mmv.4	Q9NUL5-4	uc002mmv.4	CU690214
uc002mmw.4	Q9NUL5-2	uc002mmw.4	AK096142
uc002lyd.4	Q8TF64	uc002lyd.4	NM_133261
uc002ngl.3	Q10589	uc002ngl.3	NM_004335
uc002mre.2	Q96GM1	uc002mre.2	NM_022737
uc002mrf.2	Q96GM1-2	uc002mrf.2	NM_001170635
uc002obb.3	Q9H665-2	uc002obb.3	BC031329
uc002obc.3	Q9H665	uc002obc.3	AX775837
uc002obd.4	Q9H665	uc002obd.4	NM_024660
uc002ocm.3	O43914	uc002ocm.3	NM_003332
uc002ocn.3	O43914-2	uc002ocn.3	NM_198125
uc002obx.1	Q9UF12	uc002obx.1	NM_021232
uc021ulv.1	Q8TF44	uc021ulv.1	CCDS45890
uc002pbd.4	P06732	uc002pbd.4	NM_001824
uc021uta.1	F5H389	uc021uta.1	NM_001173514
uc021utb.1	NP_001166986	uc021utb.1	NM_001173515
uc021utc.1		uc021utc.1	NR_033390
uc002nzg.2	O15552	uc002nzg.2	AX810701
uc002piz.3	O95473	uc002piz.3	NM_012451
uc002oua.3	P13688-2	uc002oua.3	M72238
uc002oub.3	P13688-4	uc002oub.3	D90313
uc002ouc.3	P13688-3	uc002ouc.3	M69176
uc002otv.3	P13688	uc002otv.3	NM_001712
uc002otw.3	P13688-8	uc002otw.3	NM_001024912
uc002pkx.3	Q9H4M7	uc002pkx.3	NM_020904
uc002otx.3	P13688-5	uc002otx.3	NM_001184815
uc002oty.3	P13688-6	uc002oty.3	NM_001184813
uc002otz.3	P13688-11	uc002otz.3	NM_001184816
uc002pmq.4	Q9NVV2	uc002pmq.4	NM_018111
uc002pnu.3	P49771	uc002pnu.3	NM_001459
uc002pnv.3	P49771	uc002pnv.3	BC011914
uc002oxm.4	Q6UWN5	uc002oxm.4	NM_001031749
uc002pnw.3	P49771	uc002pnw.3	BC028001
uc002oxn.4	NP_872379	uc002oxn.4	NM_182573
uc002pnx.3	P49771	uc002pnx.3	NM_001204503
uc002qfz.1	Q6NZY7	uc002qfz.1	NM_145057
uc002pst.3	Q9BQG1	uc002pst.3	NM_032298
uc002psv.3	Q9BQG1	uc002psv.3	NM_001160329
uc002pva.3	O43240	uc002pva.3	NM_001077500
uc002pvl.3		uc002pvl.3	AY923175
uc002pvm.3		uc002pvm.3	AY923174
uc002pvn.3	Q9UKR3	uc002pvn.3	NM_015596
uc002pvo.3		uc002pvo.3	AY923173
uc002pvp.3		uc002pvp.3	AY923172
uc002puy.3	O43240	uc002puy.3	NM_145888
uc002pvq.3		uc002pvq.3	AY923171
uc002puz.3	O43240	uc002puz.3	NM_002776
uc002pvr.3	Q9UKR3	uc002pvr.3	AL050220
